Sport1,League1,Team1_Leg1,Team2_Leg1,Sport2,League2,Team1_Leg2,Team2_Leg2,Sport3,League3,Team1_Leg3,Team2_Leg3
"Soccer","Dutch Cup","TOGB","Rohda Raalte","Soccer","Dutch Cup","SV Togb","Rohda Raalte","Soccer","Dutch Cup","SV Togb","Rohda Raalte"
"Soccer","Dutch Cup","SV Togb","Rohda Raalte","Soccer","Netherlands KNVB Beker","TOGB","Rohda Raalte"
"Soccer","Dutch Cup","SV Togb","Rohda Raalte","Soccer","Dutch Cup","TOGB","Rohda Raalte"
"Soccer","Dutch Cup","TOGB","Rohda Raalte","Soccer","Netherlands KNVB Beker","TOGB","Rohda Raalte","Soccer","Dutch Cup","SV Togb","Rohda Raalte"
"Soccer","Dutch Cup","TOGB","Rohda Raalte","Soccer","Dutch Cup","SV Togb","Rohda Raalte","Soccer","Dutch Cup","SV Togb","Rohda Raalte"
"Soccer","Egyptian 2nd Division","Telecom Egypt SC","La Viena FC","Soccer","Egypt Second Division A","WE SC","La Viena"
"Soccer","Dutch Cup","TOGB","Rohda Raalte","Soccer","Dutch Cup","SV Togb","Rohda Raalte","Soccer","Dutch Cup","TOGB","Rohda Raalte"
"Soccer","UAE President's Cup","Al Jazira Al Hamra","Gulf Heroes FC","Soccer","UAE President's Cup","Al Jazira Al Hamra","Gulf FC","Soccer","UAE President's Cup","Al Jazira Al Hamra","Gulf FC"
"Basketball","Asian Games W","Korea","Indonesia","Basketball","Asian Games W","Korea","Indonesia (W)"
"Basketball","Asian Games W","Korea","Indonesia (W)","Basketball","Asian Games W","Korea","Indonesia"
"Soccer","Egypt Second Division A","Telecom Egypt SC","La Viena FC","Soccer","Egypt Second Division A","WE SC","La Viena"
"Tennis","ATP Challenger","Del Pino M / Ratti L","Farjat T / Tenti F","Tennis","ATP Challenger","Del Pino/Ratti","Farjat/Tenti"
"Soccer","UAE President's Cup","Al Jazira Al Hamra","Gulf Heroes FC","Soccer","UAE President's Cup","Al Jazira Al Hamra","Gulf FC"
"Soccer","AFCON","D R Congo","Equatorial Guinea","Soccer","AFCON","DR Congo","Equatorial Guinea"
"Soccer","AFCON","D R Congo","Equatorial Guinea","Soccer","AFCON","DR Congo","Equatorial Guinea","Soccer","AFCON","Congo DR","Equatorial Guinea"
"Soccer","Chilean Cup","Union La Calera","Universidad Catolica","Soccer","Chilean Cup","Union La Calera","Universidad Catolica","Soccer","Chilean Cup","Deportes Union La Calera","CD Universidad Catolica"
"Basketball","Germany Bundesliga","Alba Berlin","Fraport Skyliners","Basketball","Germany Bundesliga","Alba Berlin","Skyliners Frankfurt"
"Soccer","Nigeria Premier League","Inter Lagos","Kano Pillars","Soccer","Nigeria Premier League","Inter Lagos FC","Kano Pillars FC","Soccer","Nigeria Premier League","Inter Lagos FC","Kano Pillars FC"
"Basketball","Germany Bundesliga","Rasta Vechta","Brose Bamberg","Basketball","Germany Bundesliga","SC Rasta Vechta","Brose Bamberg"
"Soccer","UEFA Champions League W","Servette","Lyon","Soccer","UEFA Champions League W","Servette FC","Olympique Lyonnais"
"Soccer","Nigeria Premier League","Inter Lagos FC","Kano Pillars FC","Soccer","Nigeria Premier League","Inter Lagos","Kano Pillars"
"Basketball","Slovenia 1. SKL","KD Ilirija","KK Nova Gorica Mladi","Basketball","Slovenia 1. SKL","KD Ilirija","CPG Nova Gorica"
"Basketball","Slovenia 1. SKL","KD Ilirija","CPG Nova Gorica","Basketball","Slovenia 1. SKL","KD Ilirija","KK Nova Gorica Mladi"
"Soccer","Nigerian Premier League","Inter Lagos FC","Kano Pillars FC","Soccer","Nigeria Premier League","Inter Lagos","Kano Pillars"
"Soccer","Ghana Premier League","Dreams","Medeama","Soccer","Ghana Premier League","Dreams FC","Medeama SC","Soccer","Ghana Premier League","Dreams FC","Medeama SC"
"Soccer","UEFA Europa Cup W","Wolfsburg (W)","Sturm Graz (W)","Soccer","UEFA Europa Cup W","Wolfsburg","Sturm Graz"
"Soccer","UEFA Europa Cup W","Wolfsburg","Sturm Graz","Soccer","UEFA Europa Cup W","Wolfsburg (W)","Sturm Graz (W)","Soccer","UEFA Europa Cup W","Wolfsburg (W)","Sturm Graz (W)"
"Soccer","Argentina Liga Pro Reserves","Newells Old Boys Reserve","Rosario Central Reserve","Soccer","Argentina Liga Pro Reserves","Newells Old Boys","Rosario Central"
"Soccer","UEFA Europa Cup W","Hammarby (W)","Rangers LFC (W)","Soccer","UEFA Europa Cup W","Hammarby","Rangers","Soccer","UEFA Europa Cup W","Hammarby Women","Rangers Women"
"Soccer","Slovakia 3. Liga","Podkonice","MFK Ruzomberok II","Soccer","Slovakia 3. Liga","FK Podkonice","MFK Ruzomberok B"
"Basketball","FIBA Intercontinental Cup","Boca Juniors","NBA G League United","Basketball","FIBA Intercontinental Cup","Boca Juniors","NBA G League United","Basketball","FIBA Intercontinental Cup","Atletico Boca Juniors","NBA G League United"
"Tennis","ATP Challenger","Neumayer","Juan Cruz Martin Manzano","Tennis","ATP Challenger","Lukas Neumayer","Juan Cruz Martin Manzano","Tennis","ATP Challenger","Neumayer","Juan Cruz Martin Manzano"
"Soccer","UEFA Europa Cup W","Hammarby (W)","Rangers LFC (W)","Soccer","UEFA Europa Cup W","Hammarby Women","Rangers Women","Soccer","UEFA Europa Cup W","Hammarby (W)","Rangers LFC (W)"
"Soccer","Nigeria Premier League","Enugu Rangers International","Ranchers Bees","Soccer","Nigeria Premier League","Enugu Rangers International","Ranchers Bees FC"
"Hockey","Austria EHL","Pioneers Vorarlberg","HC Milano Rossoblu","Hockey","Austria EHL","BEMER Pioneers Vorarlberg","Milano"
"Soccer","Other Competitions Soccer","Middlesbrough U21","Genk (Res)","Soccer","England U21 Premier League Cup","Middlesbrough FC Reserve","Jeugd Krc Genk"
"Soccer","International Other Competitions Soccer","Middlesbrough U21","Genk (Res)","Soccer","England U21 Premier League Cup","Middlesbrough FC Reserve","Jeugd Krc Genk"
"Tennis","WTA 500 WD","Storm Hunter / Desirae Krawczyk","Qianhui Tang / Yi-Fan Xu","Tennis","WTA 500","Hunter/Krawczyk","Tang/Xu"
"Tennis","WTA 125","Guiomar Maristany Zuleta De Reales","Marta Lombardini","Tennis","WTA 125","G Maristany Zuleta De R","Marta Lombardini"
"Soccer","International Friendlies","Korea Republic","Ecuador","Soccer","International Friendlies","South Korea","Ecuador","Soccer","International Friendlies","South Korea","Ecuador"
"Soccer","UEFA Champions League W","Barcelona","Paris FC","Soccer","Champions League Women","FC Barcelona W","Paris FC W","Soccer","UEFA Champions League W","Barcelona","Paris FC"
"Soccer","Oman Cup","Oman Club","Sur","Soccer","International Omani Professional League Cup","Oman FC","Sur Club","Soccer","Oman Cup","Oman FC","Sur SC"
"Soccer","Oman Cup","Oman Club","Sur","Soccer","Oman Cup","Oman FC","Sur SC","Soccer","Oman Cup","Oman FC","Sur SC"
"Tennis","WTA Tour WTA 125K Ankara, Doubles","Falkowska W / Smith A","Altinel A N / Egorova D","Tennis","WTA Tour WTA 125K Ankara, Doubles","Falkowska W / Smith A","Altinel A N / Egorova D","Tennis","WTA 125","Falkowska/Smith","Altinel/Egorova"
"Soccer","England League 2","Shrewsbury","Colchester","Soccer","England League 2","Shrewsbury Town","Colchester United","Soccer","England League 2","Shrewsbury Town","Colchester United"
"Soccer","CONCACAF Nations League A","Haiti","Trinidad & Tobago","Soccer","CONCACAF Nations League A","Haiti","Trinidad and Tobago","Soccer","CONCACAF Nations League A","Haiti","Trinidad and Tobago"
"Soccer","Colombia Colombia Liga Femenina Águila","Independiente Santa Fe (W)","Asociacion Deportivo Cali (W)","Soccer","Colombia Liga Women","Independiente Santa Fe","Deportivo Cali"
"Soccer","UEFA Champions League W","Servette FC","Olympique Lyonnais","Soccer","Champions League Women","Servette W","Olympique Lyonnais W"
"Tennis","WTA 125","Deniz Dilek","Cagla Buyukakcay","Tennis","WTA 125","Den Dilek","Cagla Buyukakcay"
"Soccer","UEFA Europa Cup W","Breidablik","Czarni Sosnowiec","Soccer","UEFA Europa Cup W","Breidablik (W)","Czarni Sosnowiec (W)"
"Soccer","Champions League Women","Servette W","Olympique Lyonnais W","Soccer","UEFA Champions League W","Servette FC","Olympique Lyonnais","Soccer","Champions League Women","Servette W","Olympique Lyonnais W"
"Basketball","Israeli League Cup","Hapoel Haemek","Ironi Kiryat ATA","Basketball","Israeli League Cup","Hapoel Haemek","Elitzur Kiryat Atta"
"Basketball","Israeli League Cup","Hapoel Haemek","Elitzur Kiryat Atta","Basketball","Israeli League Cup","Hapoel Haemek","Ironi Kiryat ATA","Basketball","Israeli League Cup","Hapoel Haemek","Ironi Kiryat ATA"
"Soccer","UEFA Europa Cup W","Brondby","Sporting CP","Soccer","UEFA Europa Cup W","Brondby Women","Sporting Women"
"Counter-Strike","CS2","Luminosity","3DMAX","Counter-Strike","CS2","Luminosity Gaming","3DMAX"
"Soccer","Asian Games","Korea","Vietnam AM","Soccer","Asian Games","Korea","Vietnam","Soccer","Asian Games","Korea","Vietnam"
"Basketball","Israeli League Cup","Hapoel Haemek","Elitzur Kiryat Atta","Basketball","Israeli League Cup","Hapoel Haemek","Ironi Kiryat ATA"
"Handball","Switzerland Nationalliga A","K. Schaffhausen","Pfadi Winterthur","Handball","Switzerland Nationalliga A","Kadetten Schaffhausen","Pfadi Winterthur"
"Handball","Switzerland Nationalliga A","Kadetten Schaffhausen","Pfadi Winterthur","Handball","Switzerland Nationalliga A","K. Schaffhausen","Pfadi Winterthur"
"Soccer","England League Cup W","Everton","Birmingham City","Soccer","England League Cup W","Everton (W)","Birmingham (W)"
"Soccer","UEFA Champions League W","Servette","Lyon","Soccer","UEFA Champions League W","Servette FC","Olympique Lyonnais","Soccer","UEFA Champions League W","Servette","Lyon"
"Basketball","Israeli League Cup","Hapoel HaEmek","Elitzur Kiryat Atta","Basketball","Israeli League Cup","Hapoel Haemek","Elitzur Kiryat Atta"
"Tennis","ATP Challenger","Almazan Valiente","Mrva","Tennis","ATP Challenger","Izan Almazan Valiente","Maxim Mrva"
"Hockey","Austria EHL","BEMER Pioneers Vorarlberg","Milano","Hockey","Austria EHL","Pioneers Vorarlberg","HC Milano Rossoblu"
"Soccer","UEFA Champions League W","Oud-Heuverlee Leuven","Roma","Soccer","UEFA Champions League W","Oud-Heuverlee Leuven","AS Roma"
"Soccer","Estonian Cup","Elva","Tallinna Kalev","Soccer","Estonian Cup","FC Elva","JK Tallinna Kalev","Soccer","Estonia Estonian Cup","FC Elva","Tallinna Kalev"
"Soccer","UEFA Champions League W","Servette FC","Olympique Lyonnais","Soccer","UEFA Champions League W","Servette FC","Olympique Lyonnais","Soccer","Champions League Women","Servette W","Olympique Lyonnais W"
"Soccer","UEFA Europa Cup W","Feyenoord","Valerenga","Soccer","UEFA Europa Cup W","Feyenoord (W)","Valerenga (W)"
"Volleyball","Argentina Metropolitana Torneo Superiores","UNLaM","San Fernando","Volleyball","Argentina Metropolitana Torneo Superiores","UNLAM Voley","Club San Fernando"
"Soccer","Estonian Cup","Elva","Tallinna Kalev","Soccer","Estonian Cup","FC Elva","JK Tallinna Kalev"
"Soccer","Estonian Cup","FC Elva","JK Tallinna Kalev","Soccer","Estonian Cup","Elva","Tallinna Kalev"
"Soccer","UEFA Champions League W","Oud-Heuverlee Leuven","AS Roma","Soccer","UEFA Champions League W","Oud-Heuverlee Leuven","Roma"
"Soccer","Estonian Cup","Elva","Tallinna Kalev","Soccer","Estonian Cup","FC Elva","JK Tallinna Kalev","Soccer","Estonian Cup","FC Elva","JK Tallinna Kalev"
"Soccer","UEFA Europa Cup W","Feyenoord (W)","Valerenga (W)","Soccer","UEFA Europa Cup W","Feyenoord Women","Valerenga Women"
"Basketball","Denmark Basketligaen","BMS Herlev","Gladsaxe BK","Basketball","Denmark Basketligaen","BMS Herlev Wolfpack","Gladsaxe BK"
"Basketball","Denmark Basketligaen","BMS Herlev Wolfpack","Gladsaxe BK","Basketball","Denmark Basketligaen","BMS Herlev","Gladsaxe BK"
"Tennis","WTA 125","Samira De Stefano","Oks Selekhmeteva","Tennis","WTA 125","Samira De Stefano","Oksana Selekhmeteva"
"Basketball","Israeli League Cup","Hapoel HaEmek","Elitzur Kiryat Atta","Basketball","Israeli League Cup","Hapoel Haemek","Ironi Kiryat ATA"
"Tennis","ATP Challenger","Facundo Mena","Gu Justo","Tennis","ATP Challenger","Facundo Mena","Guido Ivan Justo"
"Handball","Sweden Handbollsligan","Skånela IF","HK Malmö","Handball","Sweden Handbollsligan","Skanela IF","HK Malmo"
"Handball","Poland Superliga","MKS Kalisz","Kpr Ostrovia Ostrow Wlkp","Handball","Poland Superliga","MKS Kalisz","Kpr Ostrovia","Handball","Poland Superliga","MKS Kalisz","Kpr Ostrovia"
"Tennis","ATP 250","Tallon Griekspoor","Denis Shapovalov (CAN)","Tennis","ATP","Tallon Griekspoor","Denis Shapovalov"
"Soccer","England League Cup W","Everton","Birmingham City","Soccer","England League Cup W","Everton (W)","Birmingham (W)","Soccer","England League Cup W","Everton Women","Birmingham Women"
"Soccer","England League Cup W","Everton Women","Birmingham Women","Soccer","England League Cup W","Everton (W)","Birmingham (W)","Soccer","England League Cup W","Everton (W)","Birmingham (W)"
"Soccer","England League Cup W","Everton","Birmingham City","Soccer","England League Cup W","Everton Women","Birmingham Women"
"Soccer","England League Cup W","Everton (W)","Birmingham (W)","Soccer","England League Cup W","Everton Women","Birmingham Women"
"Soccer","Denmark 2nd Division","HIK","Roskilde","Soccer","Denmark Denmark 2.Division","Hik Hellerup","FC Roskilde","Soccer","Denmark Denmark 2.Division","Hik Hellerup","FC Roskilde"
"Soccer","Denmark 2nd Division","HIK","Roskilde","Soccer","Denmark Denmark 2.Division","Hik Hellerup","FC Roskilde"
"Basketball","FIBA Intercontinental Cup","Boca Juniors","NBA G League United","Basketball","FIBA Intercontinental Cup","Atletico Boca Juniors","NBA G League United"
"Basketball","WNBA","Atlanta Dream","New York Liberty","Basketball","WNBA","New York Liberty W","Atlanta Dream W"
"Basketball","WNBA","New York Liberty W","Atlanta Dream W","Basketball","WNBA","New York Liberty","Atlanta Dream"
"Tennis","WTA 125","Kucmova A / Laboutkova A","Morderger T / Morderger Y","Tennis","WTA 125","Kucmova/Laboutkova","Morderger/Morderger"
"Soccer","Spain Copa RFEF","Atletico Saguntino","Navalcarnero","Soccer","Spain Copa RFEF","Club Atletico Saguntino","CDA Navalcarnero","Soccer","Spain Copa RFEF","Club Atletico Saguntino","CDA Navalcarnero"
"Soccer","England League Cup W","Everton (W)","Birmingham (W)","Soccer","England League Cup W","Everton","Birmingham City","Soccer","England League Cup W","Everton Women","Birmingham Women"
"Soccer","Uruguay Cup","Liverpool Montevideo","Colon","Soccer","Uruguay Cup","Montevideo Liverpool","Montevideo Colon FC","Soccer","Uruguay Cup","Liverpool Montevideo","Colon FC"
"Soccer","Uruguay Cup","Liverpool Montevideo","Colon FC","Soccer","Uruguay Cup","Montevideo Liverpool","Montevideo Colon FC"
"Soccer","Uruguay Cup","Montevideo Liverpool","Montevideo Colon FC","Soccer","Uruguay Cup","Liverpool Montevideo","Colon FC","Soccer","Uruguay Cup","Liverpool Montevideo","Colon FC"
"Soccer","Spain Copa RFEF","Club Atletico Saguntino","CDA Navalcarnero","Soccer","Spain Spain Copa Federacion","Atletico Saguntino","CDA Navalcarnero"
"Soccer","Spain Spain Copa Federacion","Atletico Saguntino","CDA Navalcarnero","Soccer","Spain Copa RFEF","Club Atletico Saguntino","CDA Navalcarnero"
"Soccer","England League Cup W","Crystal Palace (W)","Watford (W)","Soccer","England League Cup W","Crystal Palace","Watford"
"Soccer","Dominican Republic Liga Mayor","Universidad O&M","Atlantico","Soccer","International Other Competitions Soccer","UNIVERSIDAD O&M","Atlantico FC","Soccer","International Other Competitions Soccer","UNIVERSIDAD O&M","Atlantico FC"
"Soccer","Asian Games W","North Korea","Chinese Taipei","Soccer","Asian Games W","Korea DPR (W)","Chinese Taipei (W)","Soccer","Asian Games W","Korea DPR (W)","Chinese Taipei (W)"
"Soccer","England League Cup W","Leicester City","London City Lionesses","Soccer","England League Cup W","Leicester City (W)","London City Lionesses"
"Tennis","ATP 250","Rinky Hijikata","Dalibor Svrcina","Tennis","ATP 250","Ri Hijikata","Svrcina"
"Soccer","England League Cup W","Manchester United","Sheffield United","Soccer","England League Cup W","Man Utd (W)","Sheffield United (W)","Soccer","England League Cup W","Man Utd (W)","Sheffield United (W)"
"Soccer","International Other Competitions Soccer","UNIVERSIDAD O&M","Atlantico FC","Soccer","Dominican Republic Liga Mayor","Universidad O&M","Atlantico"
"Soccer","Uruguay Cup","Liverpool Montevideo","Colon FC","Soccer","Uruguay Cup","Liverpool Montevideo","Colon"
"Tennis","WTA 125","Kucmova A / Laboutkova A","Morderger T / Morderger Y","Tennis","WTA 125","Aneta Kucmova / Aneta Laboutkova","Tayisiya Morderger / Yana Morderger"
"Soccer","Uruguay Cup","Liverpool Montevideo","Colon","Soccer","Uruguay Cup","Liverpool Montevideo","Colon FC"
"Soccer","Uruguay Cup","Liverpool Montevideo","Colon","Soccer","Uruguay Cup","Liverpool Montevideo","Colon FC","Soccer","Uruguay Cup","Liverpool Montevideo","Colon FC"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto Football Club","Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto","Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC"
"Soccer","Paraguayan Cup","Sportivo San Lorenzo","4 de Mayo","Soccer","Paraguayan Cup","Sportivo San Lorenzo","Club 4 de Mayo"
"Soccer","CONCACAF Nations League A","Haiti","Trinidad and Tobago","Soccer","CONCACAF Nations League A","Haiti","Trinidad and Tobago","Soccer","CONCACAF Nations League A","Haiti","Trinidad & Tobago"
"Soccer","Canada Premier League","Vancouver FC","York United FC","Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC"
"Soccer","Paraguayan Cup","Sportivo San Lorenzo","Club 4 de Mayo","Soccer","Paraguayan Cup","Sportivo San Lorenzo","4 De Mayo"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto Football Club","Soccer","Canada Premier League","Vancouver FC","Inter Toronto Football Club","Soccer","Canada Premier League","Vancouver FC","York 9 FC"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto Football Club","Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC","Soccer","Canada Premier League","Vancouver FC","York 9 FC"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto","Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC","Soccer","Canada Premier League","Vancouver FC","York 9 FC"
"Soccer","Paraguayan Cup","Sportivo San Lorenzo","4 de Mayo","Soccer","Paraguayan Cup","Sportivo San Lorenzo","4 De Mayo"
"Soccer","CONCACAF Nations League A","Haiti","Trinidad and Tobago","Soccer","CONCACAF Nations League A","Haiti","Trinidad & Tobago"
"Soccer","Paraguayan Cup","Sportivo San Lorenzo","Club 4 de Mayo","Soccer","Paraguayan Cup","Sportivo San Lorenzo","4 De Mayo","Soccer","Paraguayan Cup","Sportivo San Lorenzo","4 De Mayo"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto","Soccer","Canada Premier League","Vancouver FC","Inter Toronto Football Club","Soccer","Canada Premier League","Vancouver FC","York 9 FC"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto","Soccer","Canada Premier League","Vancouver FC","York 9 FC"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto Football Club","Soccer","Canada Premier League","Vancouver FC","York 9 FC"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC","Soccer","Canada Premier League","Vancouver FC","York 9 FC"
"Soccer","Canada Premier League","Vancouver FC","York United FC","Soccer","Canada Premier League","Vancouver FC","York 9 FC"
"Soccer","Canada Premier League","Vancouver FC","York United FC","Soccer","Canada Premier League","Vancouver FC","Inter Toronto Football Club","Soccer","Canada Premier League","Vancouver FC","York 9 FC"
"Soccer","Canada Premier League","Vancouver FC","York 9 FC","Soccer","Canada Premier League","Vancouver FC","Inter Toronto"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC","Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC","Soccer","Canada Premier League","Vancouver FC","York 9 FC"
"Rugby","Gallagher Premiership","Harlequins","Bath","Rugby","England England Premiership","Harlequin FC","Bath Rugby"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto Football Club","Soccer","Canada Premier League","Vancouver FC","Inter Toronto"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto","Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC","Soccer","Canada Premier League","Vancouver FC","Inter Toronto Football Club"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC","Soccer","Canada Premier League","Vancouver FC","Inter Toronto"
"Soccer","Canada Premier League","Vancouver FC","York 9 FC","Soccer","Canada Premier League","Vancouver FC","Inter Toronto Football Club"
"Tennis","WTA Tour WTA 125K Ankara, Doubles","Ercan M / Naito Y","Monnet C / Riera J","Tennis","WTA 125K Ankara Doubles","Melisa Ercan / Yuki Naito","Carole Monnet / Julia Riera"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC","Soccer","Canada Premier League","Vancouver FC","Inter Toronto Football Club"
"Soccer","Spain Spanish Primera Federación Group 2","UE Sant Andreu","Real Madrid Castilla","Soccer","Spain Primera Federaci�n","Sant Andreu","Real Madrid Castilla"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto","Soccer","Canada Premier League","Vancouver FC","Inter Toronto Football Club"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto","Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC","Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC"
"Soccer","Spain Spain Primera Federación","UE Sant Andreu","Real Madrid B","Soccer","Spain Primera Federaci�n","Sant Andreu","Real Madrid Castilla"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC","Soccer","Canada Premier League","Vancouver FC","Inter Toronto Football Club","Soccer","Canada Premier League","Vancouver FC","Inter Toronto Football Club"
"Soccer","Spain Spain Primera Federación","UE Sant Andreu","Real Madrid B","Soccer","Spain Spanish Primera Federación Group 2","UE Sant Andreu","Real Madrid Castilla"
"Soccer","International Friendlies","China","Maldives","Soccer","International Friendlies","China","Maldives","Soccer","International Friendlies","China PR","Maldives"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC","Soccer","Canada Premier League","Vancouver FC","York 9 FC","Soccer","Canada Premier League","Vancouver FC","York 9 FC"
"Soccer","Oman Cup","Sohar","Al-Seeb","Soccer","Oman Cup","Sohar Club","Al-Seeb"
"Basketball","France France Championnat Pro B","Caen Basket Calvados","Aix Maurienne Savoie Basket","Basketball","France Championnat Pro B","Caen Basket Calvados","Aix Maurienne Savoie"
"Soccer","International Omani Professional League Cup","Sohar","Al Seeb","Soccer","Oman Cup","Sohar","Al-Seeb","Soccer","Oman Cup","Sohar","Al-Seeb"
"Soccer","Oman Cup","Sohar","Al-Seeb","Soccer","International Omani Professional League Cup","Sohar","Al Seeb"
"Soccer","Slovakia 3. Liga","FK Podkonice","MFK Ruzomberok B","Soccer","Slovakia 3. Liga","Podkonice","MFK Ruzomberok II"
"Soccer","Slovakia 3. Liga","Podkonice","MFK Ruzomberok II","Soccer","Slovakia 3. Liga","FK Podkonice","MFK Ruzomberok B","Soccer","Slovakia 3. Liga","FK Podkonice","MFK Ruzomberok B"
"Soccer","Canada Premier League","Vancouver FC","York 9 FC","Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC"
"Football","NCAAF","Charlotte","UL Lafayette","Football","NCAAF","Charlotte","Louisiana"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC","Soccer","Canada Premier League","Vancouver FC","Inter Toronto Football Club","Soccer","Canada Premier League","Vancouver FC","York 9 FC"
"Tennis","ATP 250","L Harris","Al Kovacevic","Tennis","ATP 250","Lloyd Harris","Aleksandar Kovacevic"
"Soccer","Colombia Primera A","America de Cali","Rionegro Aguilas","Soccer","Colombia Primera A","America de Cali","Aguilas Doradas"
"Soccer","Oman Cup","Sohar","Al-Seeb","Soccer","Omani Professional League Cup","Sohar","Al Seeb"
"Soccer","Ireland Division 1","University College Dublin","Bray Wanderers","Soccer","Ireland Division 1","University College Dublin","Bray Wanderers","Soccer","Ireland Division 1","UCD","Bray Wanderers"
"Football","NCAAF","Florida Gators","Mississippi State Bulldogs","Football","NCAAF","Florida Gators","Ole Miss Rebels"
"Hockey","Austria EHL","EC Moser Medical Graz 99Ers","Vienna Capitals","Hockey","Austria EHL","Moser Medical Graz 99ers","UPC Vienna Capitals"
"Football","NCAAF","Central Florida","TCU","Football","NCAAF","UCF","TCU"
"Soccer","Colombia Primera A","America de Cali S.A","Aguilas Doradas","Soccer","Colombia Primera A","America de Cali","Rionegro Aguilas"
"Volleyball","Pan American Cup W","Dominican Republic","USA","Volleyball","Pan American Cup W","Dominican Republic","USA (W)"
"Volleyball","Pan American Cup W","Dominican Republic","USA (W)","Volleyball","Pan American Cup W","Dominican Republic","USA"
"Soccer","Uruguay Cup","Montevideo Wanderers","Cerrito","Soccer","Uruguay Cup","Montevideo Wanderers","Cerrito Cs"
"Tennis","ATP Challenger","Britto/Marcondes","Gogineni/Zamora","Tennis","ATP Challenger Tour ATP Challenger San Diego 2, Doubles","Britto L / Marcondes I","Gogineni V / Zamora N"
"Volleyball","Argentina Metropolitana Torneo Superiores","Union Vecinal General Belgrano","GEVP Voley","Volleyball","Argentina Metropolitana Torneo Superiores","Union General Belgrano","GEVP"
"Volleyball","Argentina Metropolitana Torneo Superiores","Escuela Cangallo","Ciudad Voley B","Volleyball","Argentina Metropolitana Torneo Superiores","Cangallo Voley","Ciudad Voley B"
"Soccer","CONCACAF Nations League A","Aruba","Antigua And Barbuda","Soccer","CONCACAF Nations League A","Aruba","Antigua and Barbuda"
"Soccer","CONCACAF Nations League A","Aruba","Antigua And Barbuda","Soccer","CONCACAF Nations League C","Aruba","Antigua and Barbuda"
"Hockey","Austria EHL","EC Red Bull Salzburg","EC VSV","Hockey","Austria EHL","Red Bulls Salzburg","EC Villacher SV"
"Soccer","Ecuador Serie B","Atletico Rojiblanco","Club Deportivo Cuenca Juniors","Soccer","Ecuador Serie B","Atletico Rojiblanco","CD Cuenca Juniors"
"Soccer","Colombia Liga Women","Independiente Santa Fe","Deportivo Cali","Soccer","Colombia Colombia Liga Femenina Águila","Independiente Santa Fe (W)","Asociacion Deportivo Cali (W)"
"Tennis","Chengdu ATP","Martin Damm Jr","Shintaro Mochizuki","Tennis","ATP 250","Martin Damm","Shintaro Mochizuki"
"Basketball","World Friendlies","Goyang Skygunners","Seoul SK Knights","Basketball","Korea Republic Korea Republic KBL Cup","Goyang Orions","Seoul SK Knights"
"Tennis","ATP Challenger","Andrade/Zink","Hach Verdugo/Krueger","Tennis","ATP Challenger Tour ATP Challenger San Diego 2, Doubles","Andrade A / Zink T","Hach Verdugo H / Krueger M"
"Volleyball","Argentina Metropolitana Torneo Superiores","Cangallo Voley","Ciudad Voley B","Volleyball","Argentina Metropolitana Torneo Superiores","Escuela Cangallo","Ciudad Voley B"
"Soccer","International Friendlies","Korea Republic","Ecuador","Soccer","International Friendlies","South Korea","Ecuador"
"Tennis","Chengdu ATP","Martin Damm Jr","Shintaro Mochizuki","Tennis","ATP 250","Martin Damm","Shintaro Mochizuki","Tennis","ATP 250","Damm Jr","Sh Mochizuki"
"Tennis","ATP 250","Damm Jr","Sh Mochizuki","Tennis","ATP 250","Martin Damm Jr","Shintaro Mochizuki"
"Football","NCAAF","Jacksonville State","Middle Tennessee State","Football","NCAAF","Jacksonville State","Middle Tennessee"
