Sport1,League1,Team1_Leg1,Team2_Leg1,Sport2,League2,Team1_Leg2,Team2_Leg2,Sport3,League3,Team1_Leg3,Team2_Leg3
"Soccer","Japan Cup","Vissel Kobe","Sagan Tosu","Soccer","Japan Japanese Emperor Cup","Kobe","Tosu"
"Soccer","Japan Cup","Kyoto Sanga","Fujieda MYFC","Soccer","Japan Japanese Emperor Cup","Kyoto","Fujieda Myfc"
"Soccer","Japanese League Cup W","JEF United Chiba","Kobe Leonessa","Soccer","International Other Competitions Soccer","JEF United (W)","INAC Leonessa Kobe (W)"
"Soccer","International Other Competitions Soccer","Urawa Red Diamonds (W)","Parceiro Nagano (W)","Soccer","Japanese League Cup W","Urawa Red Diamonds","Nagano Parceiro"
"Tennis","WTA 125","Fang Tian","Ele Micic","Tennis","WTA 125","Fangran Tian","Elena Micic"
"Soccer","UEFA Champions League W","Oud-Heuverlee Leuven","Roma","Soccer","UEFA Champions League W","Oud-Heuverlee Leuven","AS Roma"
"Soccer","Japanese League Cup W","JEF United Chiba","Kobe Leonessa","Soccer","International Other Competitions Soccer","JEF United (W)","INAC Leonessa Kobe (W)"
"Soccer","International Other Competitions Soccer","Urawa Red Diamonds (W)","Parceiro Nagano (W)","Soccer","Japanese League Cup W","Urawa Red Diamonds","Nagano Parceiro"
"Soccer","UEFA Champions League W","Oud-Heuverlee Leuven","Roma","Soccer","UEFA Champions League W","Oud-Heuverlee Leuven","AS Roma"
"Tennis","ATP Challenger","Comesana","Joaquin Aguilar Cardozo","Tennis","ATP Challenger","Francisco Comesana","Joaquin Aguilar Cardozo"
"Soccer","Japanese League Cup W","Cerezo Osaka","Sanfrecce Hiroshima","Soccer","International Other Competitions Soccer","Cerezo Osaka (W)","Sanfrecce Hiroshima (W)","Soccer","International Other Competitions Soccer","Cerezo Osaka (W)","Sanfrecce Hiroshima (W)"
"Soccer","Czech Cup","Kladno","Banik Ostrava","Soccer","Czech Cup","SK Kladno","Banik Ostrava"
"Soccer","Paraguayan Cup","Club F de la Mora","Libertad","Soccer","Paraguayan Cup","Club Fernando De La Mora","Libertad Asuncion"
"Soccer","Paraguayan Cup","Club Fernando De La Mora","Libertad Asuncion","Soccer","Paraguayan Cup","Club F de la Mora","Libertad"
"Soccer","Scottish Challenge Cup","Hamilton Academical","Cowdenbeath","Soccer","Scottish Challenge Cup","Hamilton Academical FC","Cowdenbeath"
"Soccer","Morocco Botola Pro","Amal Tiznit","Ittihad Tanger","Soccer","Morocco Morocco Botola","Union Sportif Amal Tiznit","Ittihad Tanger"
"Soccer","Paraguayan Cup","Club Fernando De La Mora","Libertad Asuncion","Soccer","Paraguayan Cup","Club Fernando De La Mora","Libertad Asuncion","Soccer","Paraguayan Cup","Club F de la Mora","Libertad"
"Tennis","ATP 250","A Muller","Bar Biryukov","Tennis","ATP 250","Alexandre Muller","Petr Bar Biryukov"
