Sport1,League1,Sport2,League2,Sport3,League3
"Soccer","Japan Japan Emperor's Cup","Soccer","Japan Emperor�s Cup","Soccer","Japanese Emperor Cup"
"Soccer","Japan Emperor�s Cup","Soccer","Japan Emperor�s Cup","Soccer","Japanese Emperor Cup"
"Soccer","Japan Emperor�s Cup","Soccer","Japan Japan Emperor's Cup"
"Soccer","Japanese Emperor Cup","Soccer","Japan Emperor�s Cup","Soccer","Japan Emperor�s Cup"
"Soccer","International Other Competitions Soccer","Soccer","Japanese League Cup W"
"Soccer","Japan Emperor�s Cup","Soccer","Japan Japan Emperor's Cup","Soccer","Japanese Emperor Cup"
"Soccer","Japan Emperor�s Cup","Soccer","Japanese Emperor Cup"
"Soccer","Japan Japan Emperor's Cup","Soccer","Japan Emperor�s Cup"
"Soccer","Japan Japan Emperor's Cup","Soccer","Japan Japan Emperor's Cup","Soccer","Japan Emperor�s Cup"
"Tennis","WTA 125","Tennis","WTA 125K Ankara R16"
"Soccer","UEFA Nations League B","Soccer","UEFA Nations League A","Soccer","UEFA Nations League A"
"Soccer","European U21 Championship","Soccer","UEFA U21 Euro","Soccer","European U21 Championship"
"Tennis","ATP Challenger Buenos Aires R16","Tennis","ATP Challenger"
"Tennis","ATP Challenger San Diego R16","Tennis","ATP Challenger"
"Soccer","India BDFA Super Division","Soccer","Bangladesh Premier League"
"Basketball","Europe Euroleague","Basketball","Euroleague"
"Soccer","Spain Spanish Primera Federación Group 2","Soccer","Spain Division 3"
"Basketball","European Euroleague Men","Basketball","Europe Euroleague"
"Basketball","European Euroleague Men","Basketball","Euroleague"
